0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,mean_size,mean_relative_time,duration,label,,,Statistics per label,,,,,
"[1, 52, 0]","[0, 48, 4]","[1, 40, 6]","[1, 713, 8]","[0, 40, 9]","[0, 1500, 14]","[0, 1500, 14]","[0, 343, 14]","[1, 40, 14]","[1, 104, 25]","[0, 40, 25]","[1, 210, 26]","[1, 410, 26]","[0, 40, 26]","[0, 40, 27]","[0, 552, 28]","[0, 71, 29]","[1, 40, 29]","[1, 71, 31]","[0, 40, 32]",294.7,19.35,32,210,,,,,,,,
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 713, 8]","[0, 40, 9]","[0, 1500, 14]","[0, 1500, 14]","[0, 343, 14]","[1, 40, 14]","[1, 104, 32]","[1, 210, 33]","[1, 410, 33]","[0, 40, 33]","[0, 40, 34]","[0, 40, 34]","[0, 552, 35]","[0, 71, 35]","[1, 40, 36]","[1, 71, 38]","[0, 40, 39]",294.7,23.3,39,210,,label,mean_size + std,mean_relative_time,mean_duration,mean+std_IAT,mean+std_CH,mean+std_SH
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 713, 9]","[0, 40, 10]","[0, 1500, 14]","[0, 1500, 14]","[0, 344, 14]","[1, 40, 14]","[1, 104, 25]","[0, 40, 26]","[1, 210, 27]","[1, 410, 27]","[0, 40, 27]","[0, 40, 27]","[0, 552, 28]","[0, 71, 29]","[1, 40, 29]","[1, 71, 30]","[0, 40, 31]",294.75,19.6,31,210,,110,315.8755±23.36,12.6735,23.71,1.2479 ± 2.5232,725.00 ± 0,1500.00 ± 0
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 8]","[0, 40, 9]","[0, 1500, 14]","[0, 1500, 14]","[0, 343, 14]","[1, 40, 15]","[1, 104, 25]","[0, 40, 25]","[1, 210, 27]","[0, 552, 27]","[1, 410, 27]","[0, 40, 27]","[1, 71, 29]","[0, 71, 29]","[0, 40, 29]","[0, 246, 38]","[1, 40, 38]",305,20.2,38,210,,111,426.7325±18.56,12.879,22.73,1.1963 ± 2.3877,1947.00 ± 0,732.56 ± 722.70
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 713, 5]","[0, 40, 6]","[0, 1500, 13]","[0, 1500, 13]","[0, 343, 13]","[1, 40, 13]","[1, 104, 23]","[1, 210, 24]","[1, 410, 24]","[0, 40, 26]","[0, 40, 26]","[0, 40, 26]","[0, 561, 28]","[1, 71, 30]","[0, 40, 31]","[0, 246, 43]","[0, 1500, 43]",376.9,19.7,43,210,,112,378.102±13.53,13.3215,22.28,1.1726 ± 2.0364,1962.00 ± 0,848.40 ± 720.37
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 6]","[0, 40, 6]","[0, 1500, 12]","[0, 1500, 12]","[0, 343, 12]","[1, 40, 12]","[1, 104, 22]","[0, 40, 23]","[1, 210, 24]","[1, 410, 24]","[0, 40, 25]","[0, 40, 25]","[0, 552, 25]","[0, 71, 27]","[1, 40, 27]","[1, 71, 29]","[0, 40, 29]",294.7,17.45,29,210,,120,295.766±39.33,16.5865,35.2,1.8526 ± 3.5258,614.40 ± 35.97,1500.00 ± 0
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 6]","[0, 40, 7]","[0, 1500, 13]","[0, 1500, 13]","[0, 342, 13]","[1, 40, 13]","[1, 104, 24]","[0, 40, 25]","[0, 552, 27]","[1, 210, 28]","[1, 410, 28]","[0, 40, 30]","[0, 71, 32]","[1, 71, 34]","[0, 40, 35]","[0, 247, 40]","[0, 86, 41]",307.3,20.9,41,210,,121,378.2565±13.52,14.959,26.14,1.3758 ± 2.7514,1835.96 ± 34.60,877.36 ± 716.87
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 713, 8]","[0, 40, 9]","[0, 1500, 14]","[0, 1500, 14]","[0, 343, 14]","[1, 40, 15]","[1, 104, 38]","[0, 40, 38]","[0, 552, 40]","[1, 210, 41]","[1, 410, 41]","[0, 40, 41]","[0, 40, 42]","[0, 71, 43]","[1, 71, 44]","[0, 40, 45]","[0, 292, 52]",307.3,27.4,52,210,,122,381.996±13.29,13.7175,26.41,1.3900 ± 3.6707,1827.32 ± 34.65,1022.16 ± 680.87
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 713, 6]","[0, 40, 7]","[0, 1500, 12]","[0, 1500, 12]","[1, 40, 12]","[0, 344, 13]","[1, 104, 22]","[0, 40, 22]","[1, 210, 23]","[1, 410, 23]","[0, 40, 23]","[0, 40, 24]","[0, 552, 24]","[0, 71, 26]","[1, 40, 26]","[1, 71, 27]","[0, 40, 27]",294.75,16.95,27,210,,210,310.2525±30.59,23.8215,41.72,2.1958 ± 4.0561,713.00 ± 0,1500.00 ± 0
"[1, 52, 0]","[0, 48, 7]","[1, 40, 7]","[1, 713, 9]","[0, 40, 10]","[0, 1500, 16]","[0, 1500, 16]","[0, 342, 17]","[1, 40, 17]","[1, 104, 31]","[0, 40, 32]","[1, 210, 33]","[1, 410, 33]","[0, 552, 34]","[0, 40, 34]","[0, 40, 34]","[1, 71, 36]","[0, 71, 36]","[0, 40, 37]","[0, 292, 44]",307.25,24.15,44,210,,211,415.576±16.65,22.752,40.85,2.1500 ± 4.4519,1935.00 ± 0,507.20 ± 681.06
