label,mean_pkt_size,std_pkt_size,mean_IAT,std_IAT,mean_CH,mean_SH
110,0.5,0.5001250468945398,315.8755,447.1825143051773,1.0,0.0
111,0.4925,0.5000687796615542,426.7325,614.2880292136316,1.0,0.0
112,0.494,0.5000890365947458,378.102,570.9636418688742,1.0,0.0
120,0.4655,0.498933078787681,295.766,413.73195949933034,1.0,0.0
121,0.494,0.5000890365947458,378.2565,555.0967518457525,1.0,0.0
122,0.499,0.5001240466434457,381.996,553.6934812869027,1.0,0.0
210,0.437,0.4961391710382473,310.2525,453.6570754598757,1.0,0.0
211,0.431,0.4953399649134119,415.576,612.3701338360707,1.0,0.0
212,0.4225,0.49408077062758876,373.593,574.2981216382817,1.0,0.0
220,0.4615,0.4986402220394157,262.554,389.68201924397414,1.0,0.0
221,0.455,0.49809542210781493,366.284,556.989634616781,1.0,0.0
222,0.437,0.4961391710382473,367.207,567.4542698096144,1.0,0.0
