0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,label
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1787, 5]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 11]","[1, 52, 11]","[0, 663, 11]","[1, 52, 11]","[1, 116, 19]","[1, 150, 19]","[1, 521, 19]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 4]","[1, 1787, 4]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 665, 10]","[1, 52, 10]","[1, 116, 17]","[0, 52, 17]","[0, 564, 19]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 1787, 4]","[0, 52, 4]","[0, 52, 4]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 663, 9]","[1, 52, 9]","[1, 116, 17]","[0, 52, 17]","[0, 564, 19]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 4]","[0, 52, 5]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 665, 10]","[1, 52, 10]","[1, 116, 19]","[1, 150, 20]","[1, 521, 20]","[0, 52, 20]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 1851, 4]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 663, 9]","[1, 52, 9]","[1, 116, 22]","[1, 150, 22]","[1, 521, 23]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 5]","[1, 1787, 5]","[0, 52, 6]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 663, 10]","[1, 52, 10]","[1, 116, 18]","[1, 150, 18]","[1, 521, 18]","[0, 52, 18]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1787, 5]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 665, 11]","[1, 52, 11]","[1, 116, 21]","[1, 150, 22]","[1, 521, 22]",121
"[1, 60, 0]","[0, 60, 13]","[1, 52, 13]","[1, 1787, 14]","[0, 52, 17]","[0, 52, 18]","[0, 1500, 24]","[1, 52, 24]","[0, 1500, 24]","[1, 52, 24]","[0, 664, 24]","[1, 52, 24]","[1, 116, 34]","[1, 150, 34]","[1, 521, 35]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 5]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 663, 9]","[1, 52, 9]","[1, 116, 16]","[1, 150, 16]","[1, 521, 17]","[0, 52, 17]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1883, 5]","[0, 52, 6]","[0, 52, 6]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 664, 11]","[1, 52, 11]","[1, 116, 18]","[0, 52, 19]","[0, 564, 20]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 1787, 4]","[0, 52, 4]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 663, 9]","[1, 52, 9]","[1, 116, 15]","[0, 52, 16]","[0, 564, 17]","[1, 150, 20]",121
