0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1787, 5]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 11]","[1, 52, 11]","[0, 663, 11]","[1, 52, 11]","[1, 116, 19]","[1, 150, 19]","[1, 521, 19]","[0, 52, 20]","[0, 52, 20]","[0, 52, 20]","[0, 573, 21]","[1, 83, 22]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 4]","[1, 1787, 4]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 665, 10]","[1, 52, 10]","[1, 116, 17]","[0, 52, 17]","[0, 564, 19]","[1, 150, 29]","[1, 83, 29]","[1, 521, 29]","[0, 52, 30]","[0, 52, 30]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 1787, 4]","[0, 52, 4]","[0, 52, 4]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 663, 9]","[1, 52, 9]","[1, 116, 17]","[0, 52, 17]","[0, 564, 19]","[1, 150, 21]","[1, 83, 21]","[1, 521, 21]","[0, 52, 21]","[0, 52, 22]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 4]","[0, 52, 5]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 665, 10]","[1, 52, 10]","[1, 116, 19]","[1, 150, 20]","[1, 521, 20]","[0, 52, 20]","[0, 52, 20]","[0, 52, 21]","[0, 564, 22]","[0, 83, 22]","[1, 52, 22]",121
"[1, 60, 0]","[0, 60, 3]","[1, 52, 3]","[1, 1851, 4]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 663, 9]","[1, 52, 9]","[1, 116, 22]","[1, 150, 22]","[1, 521, 23]","[0, 52, 23]","[0, 52, 23]","[0, 52, 23]","[0, 564, 24]","[0, 83, 24]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 5]","[1, 1787, 5]","[0, 52, 6]","[0, 1500, 10]","[1, 52, 10]","[0, 1500, 10]","[1, 52, 10]","[0, 663, 10]","[1, 52, 10]","[1, 116, 18]","[1, 150, 18]","[1, 521, 18]","[0, 52, 18]","[0, 52, 19]","[0, 52, 19]","[0, 564, 20]","[0, 83, 20]","[1, 52, 20]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1787, 5]","[0, 52, 5]","[0, 52, 5]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 665, 11]","[1, 52, 11]","[1, 116, 21]","[1, 150, 22]","[1, 521, 22]","[0, 52, 22]","[0, 52, 22]","[0, 52, 22]","[0, 564, 24]","[0, 83, 24]",121
"[1, 60, 0]","[0, 60, 13]","[1, 52, 13]","[1, 1787, 14]","[0, 52, 17]","[0, 52, 18]","[0, 1500, 24]","[1, 52, 24]","[0, 1500, 24]","[1, 52, 24]","[0, 664, 24]","[1, 52, 24]","[1, 116, 34]","[1, 150, 34]","[1, 521, 35]","[0, 52, 39]","[0, 52, 39]","[0, 52, 39]","[0, 564, 44]","[0, 83, 44]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1851, 5]","[0, 52, 5]","[0, 1500, 9]","[1, 52, 9]","[0, 1500, 9]","[1, 52, 9]","[0, 663, 9]","[1, 52, 9]","[1, 116, 16]","[1, 150, 16]","[1, 521, 17]","[0, 52, 17]","[0, 52, 17]","[0, 52, 17]","[0, 564, 19]","[0, 83, 19]","[1, 52, 19]",121
"[1, 60, 0]","[0, 60, 4]","[1, 52, 4]","[1, 1883, 5]","[0, 52, 6]","[0, 52, 6]","[0, 1500, 11]","[1, 52, 11]","[0, 1500, 11]","[1, 52, 11]","[0, 664, 11]","[1, 52, 11]","[1, 116, 18]","[0, 52, 19]","[0, 564, 20]","[1, 150, 31]","[1, 83, 31]","[1, 521, 31]","[0, 52, 31]","[0, 52, 31]",121
