0,1,2,3,4,label
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 22]","[0, 40, 24]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 9]","[0, 40, 10]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 7]","[1, 40, 7]","[1, 1950, 8]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 24]","[0, 40, 25]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 10]","[0, 40, 11]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 9]","[0, 40, 10]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 11]","[0, 40, 12]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 1950, 5]","[0, 40, 6]",212
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 1950, 9]","[0, 40, 11]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 8]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 8]","[1, 40, 8]","[1, 1950, 10]","[0, 40, 11]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 4]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 8]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 7]","[1, 40, 9]","[1, 1950, 12]","[0, 40, 13]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 5]","[1, 1950, 8]","[0, 40, 9]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 10]","[0, 40, 11]",212
"[1, 52, 0]","[0, 48, 3]","[1, 40, 4]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 6]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 6]","[1, 40, 7]","[1, 1950, 12]","[0, 40, 13]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 5]","[1, 40, 6]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 7]","[1, 40, 7]","[1, 1950, 9]","[0, 40, 10]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 9]","[0, 40, 10]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 8]",212
"[1, 52, 0]","[0, 48, 7]","[1, 40, 8]","[1, 1950, 12]","[0, 40, 12]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 6]","[0, 40, 7]",212
"[1, 52, 0]","[0, 48, 4]","[1, 40, 5]","[1, 1950, 7]","[0, 40, 7]",212
